Image ID,Creator,Short Title,Title,Created:from,Created:to,Last DB update,Uploaded to DB,Image type,Technique,Language,Distribution at time of creation,(Digital) source,Source ID (if applicable),Country of origin,Exact location,Holding institution,Collection,Other copyright holders,Related images,Licence,ImgDB ID,Metadata editor,,
41,Ploetz Historischer Weltatlas / Monika Barget,Map of Monmouth's Rebellion 1685,Map of Monmouth's Rebellion 1685,1.1.2013,12/31/2013,3/22/2014 0:01,3/21/2014,13,1,2,,,,DEU,,,,,,0,imgs/2013_DEU__41.jpg,monika,,
42,Routledge Atlas of British History,Map of the Pilgrimage of Grace,Map of the Pilgrimage of Grace,1.1.2010,12/31/2010,3/22/2014 0:08,3/21/2014,1,1,5,,,,GBR,,,,,,0,imgs/2010_GBR__42.jpg,monika,,
43,unknown,Historic Counties of England and Wales,Historic Counties of England and Wales,1700-01-01,1800-12-31,3/22/2014 0:09,3/21/2014,1,1,5,,www.wikimedia.com,,GBR,,,,,,0,imgs/1700_GBR__43.jpg,monika,,
44,Routledge Atlas of British History,Maps of the Jacobite Rebellions,Maps of the Jacobite Rebellions,1.1.2010,12/31/2010,3/22/2014 0:11,3/21/2014,1,1,5,,,,GBR,,,,,,0,imgs/2010_GBR__44.jpg,monika,,
45,Routledge Atlas of British History,Map of England 1500 - 1600,Map of England 1500 - 1600,1.1.2010,12/31/2010,3/22/2014 0:12,3/21/2014,1,1,5,,,,GBR,,,,,,0,imgs/2010_GBR__45.jpg,monika,,
46,Daniel Szechi (publ.),Areas affected by the Jacobite risings in 1715,Areas affected by the Jacobite risings in 1715,1.1.2009,12/31/2009,3/22/2014 0:15,3/21/2014,1,1,5,,,,GBR,illustration in Daniel Szechi's 1715,,,,,0,imgs/2009_GBR__46.jpg,monika,,
47,Malte,1626 Upper Austrian Peasant War_aus Krebs-Lit.Rezeption,1626 Upper Austrian Peasant War_aus Krebs-Lit.Rezeption,1626-01-01,1626-12-31,3/22/2014 0:18,3/21/2014,1,1,1,,,,AFG,,,,,,0,imgs/1626_AFG__47.jpg,monika,,
48,Malte,1630s Croquants / Nu-Pieds,1630s Croquants / Nu-Pieds,1630-01-01,1630-12-31,3/22/2014 0:19,3/21/2014,1,1,1,,,,AFG,,,,,,0,imgs/1630_AFG__48.jpg,monika,,
49,Malte,1640-52 Catalan revolt (2),1640-52 Catalan revolt (2),1640-01-01,1640-12-31,3/22/2014 0:20,3/21/2014,1,1,1,,,,AFG,,,,,,0,imgs/1640_AFG__49.png,monika,,
50,Malte,1640-52 Catalan revolt,1640-52 Catalan revolt,1640-01-01,1640-12-31,3/22/2014 0:20,3/21/2014,1,1,1,,,,AFG,,,,,,0,imgs/1640_AFG__50.png,monika,,
51,Malte,1640-68 War of Portuguese Independence,1640-68 War of Portuguese Independence,1640-01-01,1640-12-31,3/22/2014 0:21,3/21/2014,1,1,1,,,,AFG,,,,,,0,imgs/1640_AFG__51.jpg,monika,,
52,Malte,1642-49 English Civil Wars,1642-49 English Civil Wars,1642-01-01,1649-12-31,3/22/2014 0:22,3/21/2014,1,1,1,,,,AFG,,,,,,0,imgs/1642_AFG__52.jpg,monika,,
53,Malte,1648-53 Fronde in France,1648-53 Fronde in France,1648-01-01,1653-12-31,3/22/2014 0:22,3/21/2014,1,1,1,,,,AFG,,,,,,0,imgs/1648_AFG__53.jpg,monika,,
54,Malte,1648-57 Khmel'nyc'kyi revolt,1648-57 Khmel'nyc'kyi revolt,1648-01-01,1657-12-31,3/22/2014 0:23,3/21/2014,1,1,1,,,,AFG,,,,,,0,imgs/1648_AFG__54.gif,monika,,
55,Malte,1648-62 Muscovite town rebellions,1648-62 Muscovite town rebellions,1648-01-01,1662-12-31,3/22/2014 0:23,3/21/2014,1,1,1,,,,AFG,,,,,,0,imgs/1648_AFG__55.jpg,monika,,
56,Malte,1653 Swiss Peasant War,1653 Swiss Peasant War,1653-01-01,1653-12-31,3/22/2014 0:24,3/21/2014,1,1,1,,,,AFG,,,,,,0,imgs/1653_AFG__56.png,monika,,
57,Malte,1667-1671 Razin uprising / Muscovy,1667-1671 Razin uprising / Muscovy,1667-01-01,1671-12-31,3/22/2014 0:25,3/21/2014,1,1,1,,,,AFG,,,,,,0,imgs/1667_AFG__57.jpg,monika,,
58,Malte,Europe_Map Revolts marked / but incomplete_ Mid 17th century,Europe_Map Revolts marked / but incomplete_ Mid 17th century crisis,1.1.2014,12/31/2014,3/22/2014 0:27,3/21/2014,1,1,1,,,,AFG,,,,,,0,imgs/2014_AFG__58.jpg,monika,,
59,Luke Sullivan / after William Hogarth,March of the Guards to Scotland,March of the Guards to Scotland,1750-01-01,1761-12-31,7.9.2014 12:57,3/21/2014,12,1,5,Great Britain,,,GBR,,British Museum London,British Museum London,British Museum London,,2,imgs/1750_GBR__59.jpg,monika,,
60,unknown,Execution of the Gunpowder plotters,Execution of the Gunpowder plotters,1600-01-01,1700-12-31,3/22/2014 2:49,3/22/2014,13,1,1,,,,AFG,,,,,,0,imgs/1600_AFG__60.jpg,monika,,
61,unknown,Lord Lovat counting off the clans,Simon Fraser / Lord Lovat (1667-1747) / counting off the clans that fought for the Pretender.,1747-01-01,1747-12-31,3/22/2014 2:52,3/22/2014,12,1,5,,,,GBR,Etching after William Hogarth,,,,,0,imgs/1747_GBR__61.jpg,monika,,
62,P. Schenck,William of Orange attacks Louis XIV and James II,William of Orange attacks Louis XIV and James II,1689-01-01,1689-12-31,3/22/2014 2:55,3/22/2014,1,1,13,,,,NLD,,,,,,0,imgs/1689_NLD__62.jpg,monika,,
63,unknown,Beheading of the rebellious lords,The tumultuous crowd at the beheading of the rebellious lords Lovat / Balmerino and Kilmarnock in 1746,1746-01-01,1746-12-31,3/22/2014 3:00,3/22/2014,12,1,3,Great Britain,http://catalogue.wellcomelibrary.org/record=b1201326,Copy photo no. V 41797 / System b12013262 / Record 43513i,GBR,,Wellcome Library,Harvard University,Harvard University,,0,imgs/1746_GBR__63.jpg,monika,,
64,unknown,Two men apprehending Lord Edward Fitzgerald,Two men apprehending Lord Edward Fitzgerald at gunpoint in his bed chamber for high treason,1789-01-01,1789-12-31,3/22/2014 3:04,3/22/2014,12,1,13,Great Britain,http://search.wellcomelibrary.org/iii/encore/record/C__Rb120,Wellcome Library no. 42809i,AFG,Great Britain,,Wellcome Library,Wellcome Library,,0,imgs/1789_AFG__64.jpg,monika,,
65,unknown,Satire on the Scots,Satire on the Scots,1745-01-01,1800-12-31,3/22/2014 3:06,3/22/2014,12,1,5,,,,GBR,Great Britain,Wellcome Library,Wellcome Library,Wellcome Library,,0,imgs/1745_GBR__65.jpg,monika,,
66,unknown,The Tree of Sins,A withered tree bearing apples labelled with sins, representing the life of the base / 'natural' man,1771-01-01,1771-12-31,3/22/2014 3:11,3/22/2014,1,1,5,Great Britain,http://search.wellcomelibrary.org/iii/encore/record/C__Rb118,Wellcome Library no. 26769i,GBR,after J. Bakewell / Great Britain / printed by C. Bowles,Wellcome Library,,,0,imgs/1771_GBR__66.jpg,monika,,
67,J. Duplessi-Bertaux,Execution of the rebels in Naples and Sicily,The execution of rebels during the Rebellion in Naples and Sicily in 1647,1647-01-01,1647-12-31,3/22/2014 3:15,3/22/2014,12,1,6,France / Great Britain,http://search.wellcomelibrary.org/iii/encore/record/C__Rb120,,FRA,,Wellcome Library,Wellcome Library,Wellcome Library,,0,imgs/1647_FRA__67.jpg,monika,,
68,J. Tinney,Men gather at an execution,Groups of men gather at an execution,1741-01-01,1741-12-31,3/22/2014 3:19,3/22/2014,12,1,13,Great Britain,,,GBR,,Wellcome Library,Wellcome Library,Wellcome Library,Wellcome Library, Part of Wellcome Collection / 183 Euston Road / London NW1 2BE,0,imgs/1741_GBR__68.jpg,monika,,
69,unknown,Daniel Defoe in the pillory,Daniel Defoe is standing in the pillory while soldiers have to restrain crowds from throwing flowers at him,1703-01-01,1704-12-31,3/22/2014 3:24,3/22/2014,12,1,6,Great Britain,http://search.wellcomelibrary.org/iii/encore/record/C__Rb120,,GBR,Great Britain and / or France?,Wellcome Library London,Wellcome Library London,Wellcome Library London,,0,imgs/1703_GBR__69.jpg,monika,,
70,unknown,Titus Oates standing in the pillory,Titus Oates is standing in the pillory while two men drive a cart with gallows past him,1680-01-01,1700-12-31,3/22/2014 3:28,3/22/2014,12,1,5,Great Britain,http://search.wellcomelibrary.org/iii/encore/record/C__Rb120,Wellcome Library no. 43302i,GBR,,,,,,0,imgs/1680_GBR__70.jpg,monika,,
71,unknown,Titus Oates in the pillory surrounded by those executed,Titus Oates standing in the pillory surrounded by medaillons of people executed as a result of the Popish Plot in 1678,1685-01-01,1685-12-31,4/19/2014 6:41,3/22/2014,12,1,5,,,,GBR,,Wellcome Library London,Wellcome Library London,Wellcome Library London,Titus Oates standing in the pillory surrounded by medaillons of people executed as a result of the Popish Plot in 1678. Etching with engraving.,0,imgs/1685_GBR__71.jpg,monika,,
72,unknown,The execution of Father Garnet by hanging,The execution of Father Garnet by hanging,1600-01-01,1700-12-31,3/22/2014 3:32,3/22/2014,12,1,13,Great Britain,,,GBR,Great Britain,Wellcome Library London,Wellcome Library London,Wellcome Library London,,0,imgs/1600_GBR__72.jpg,monika,,
73,Claes (Nicolaes) Jansz Visscher,Execution of the eight conspirators in 1606,The execution of the eight surviving conspirators of the Gunpowder Plot in 1606 in London,1606-01-01,1606-12-31,7/31/2014 12:35,3/22/2014,12,1,13,,,,GBR,,Wellcome Library London,Wellcome Library London,Wellcome Library London,,0,imgs/1606_GBR__73.jpg,monika,,
74,unknown,Dutch satire against European rulers in general,Dutch satire against European rulers in general,1700-01-01,1800-12-31,3/22/2014 3:35,3/22/2014,12,1,13,,,,NLD,,,,,,0,imgs/1700_NLD__74.jpg,monika,,
75,unknown,James Aitken / John the Painter,James Aitken / John the Painter,1770-01-01,1800-12-31,3/23/2014 21:16,3/22/2014,12,1,5,,www.executedtoday.com,,GBR,,,,,,0,imgs/1770_GBR__75.jpg,monika,,
77,unknown,A woman representing a map of Scotland,A woman representing a map of Scotland,1700-01-01,1800-12-31,3/22/2014 3:42,3/22/2014,12,1,5,,,,GBR,,Wellcome Library London,Wellcome Library London,Wellcome Library London,,0,imgs/1700_GBR__77.jpg,monika,,
78,unknown,Beheading of the Rebel Lords on Great Tower Hill 1746,Beheading of the Rebel Lords on Great Tower Hill 1746,1746-01-01,1748-12-31,3/22/2014 3:43,3/22/2014,12,1,5,,,,GBR,Great Britain,,,,,0,imgs/1746_GBR__78.jpg,monika,,
79,unknown,Calve's Head Club,A Description of the Calve's Head Club,1650-01-01,1750-12-31,3/23/2014 14:28,3/22/2014,12,1,5,,,,GBR,,,,,,0,imgs/1650_GBR__79.jpg,monika,,
80,unknown,English Atlas of Geography 1733,English Atlas of Geography 1733,1733-01-01,1733-12-31,3/22/2014 3:46,3/22/2014,1,1,5,,,,GBR,,,,,,0,imgs/1733_GBR__80.jpg,monika,,
81,unknown,Prince Charles at the Battle of Culloden,Prince Charles at the Battle of Culloden,1800-01-01,12/31/1900,3/22/2014 3:48,3/22/2014,2,1,1,Great Britain,,NAM 2456386b,GBR,,National Army Museum London,,,,0,imgs/1800_GBR__81.jpg,monika,,
82,Paul Delaroche,The Execution of Jane Grey,The Execution of Jane Grey,1800-01-01,12/31/1900,3/22/2014 3:50,3/22/2014,2,1,13,,,,GBR,,,,,,0,imgs/1800_GBR__82.jpg,monika,,
83,William Ewart Lockhart,Scene from the Rebellion,Scene from the Rebellion,1800-01-01,12/31/1900,3/23/2014 19:45,3/22/2014,2,1,13,Great Britain,www.bbc.co.uk\arts,,GBR,Great Britain,Dumfries and Galloway Council (Annan Museum),Dumfries and Galloway Council (Annan Museum),Bridgeman Art Library \ BBC Arts,,0,imgs/1800_GBR__83.jpg,monika,,
84,David Morier,The Battle of Culloden,The Battle of Culloden,1800-01-01,12/31/1900,3/22/2014 3:52,3/22/2014,2,1,13,,,,GBR,,,,,,0,imgs/1800_GBR__84.jpg,monika,,
85,Luke Sullivan / after William Hogarth,The March of the Guards towards Scotland in the year 1745,The March of the Guards towards Scotland in the year 1745,1761-01-01,1761-12-31,7.9.2014 12:56,3/22/2014,12,1,5,Great Britain,http://www.nam.ac.uk/online-collection/detail.php?acc=1960-05-1-1,NAM. 1960-05-1-1,GBR,London / Great Britain,National Army Museum London,National Army Museum London,National Army Museum London,,0,imgs/1761_GBR__85.jpg,monika,,
86,Romeyn de Hoogh,King William III at The Battle of the Boyne,King William III at The Battle of the Boyne 1 July 1690,1690-01-01,1690-12-31,3/22/2014 3:57,3/22/2014,12,1,13,Great Britain,,NAM Image Number 71343,GBR,Netherlands,National Army Museum London,National Army Museum London,National Army Museum London,,0,imgs/1690_GBR__86.jpg,monika,,
87,Jan Wyck,The Battle of the Boyne 12 July 1690,The Battle of the Boyne 12 July 1690,1690-01-01,1690-12-31,7.9.2014 14:48,3/22/2014,2,1,13,Great Britain,http://www.nam.ac.uk/online-collection/detail.php?acc=1975-08-50-1,NAM Image Number 1005096,GBR,Netherlands,National Army Museum London,National Army Museum London,National Army Museum London,,2,imgs/1690_GBR__87.jpg,monika,,
88,W Baillie after Netcher and Wyke,James Duke of Monmouth Mortuus,James Duke of Monmouth Mortuus,1774-01-01,1774-12-31,3/22/2014 4:01,3/22/2014,12,1,1,Great Britain,,NAM Image Number 8570,AFG,Great Britain,National Army Museum London,National Army Museum London,National Army Museum London,,0,imgs/1774_AFG__88.jpg,monika,,
89,H. Terasson after Louis du Guernier,The March of the King's Forces to Perth 1715,The March of the King's Forces to Perth 1715,1715-01-01,1715-12-31,7.9.2014 14:55,3/22/2014,12,1,13,Great Britain,http://www.nam.ac.uk/online-collection/detail.php?acc=1971-02-33-152-1,NAM Image Number 13882,GBR,Great Britain and / or France?,National Army Museum London,National Army Museum London,National Army Museum London,,0,imgs/1715_GBR__89.jpg,monika,,
90,unknown,A View of the Battle of Culloden,A View of the Battle of Culloden,1750-01-01,1750-12-31,3/22/2014 4:05,3/22/2014,12,1,13,Great Britain,,NAM Image Number 1017648,GBR,Great Britain,National Army Museum London,National Army Museum London,National Army Museum London,,0,imgs/1750_GBR__90.jpg,monika,,
91,Luke Sullivan after Augustin Heckel,Battle of Culloden,Battle of Culloden,1746-01-01,1746-12-31,3/22/2014 4:11,3/22/2014,12,1,13,Great Britain,,NAM Image Number 13691,GBR,Great Britain,National Army Museum London,National Army Museum London,National Army Museum London,,0,imgs/1746_GBR__91.jpg,monika,,
92,G. Williams after J. Hamilton,Perspektive View of the Battle of Drunmossie Moor,Perspektive View of the Battle of Drunmossie Moor,1746-01-01,1746-12-31,3/22/2014 4:14,3/22/2014,12,1,13,,,,GBR,,National Army Museum London,National Army Museum London,National Army Museum London,,0,imgs/1746_GBR__92.jpg,monika,,
93,unknown,Lovat's Ghost on Pilgrimage,Lovat's Ghost on Pilgrimage,1747-01-01,1747-12-31,3/22/2014 4:16,3/22/2014,12,1,5,Great Britain,,,GBR,Great Britain,National Army Museum London,National Army Museum London,National Army Museum London,,0,imgs/1747_GBR__93.jpg,monika,,
94,David Morier,William Augustus Duke of Cumberland,William Augustus Duke of Cumberland,1750-01-01,1850-12-31,3/22/2014 4:18,3/22/2014,2,1,13,,,NAM Image Number 46193,GBR,,,National Army Museum London,National Army Museum London,,0,imgs/1750_GBR__94.jpg,monika,,
95,Domenico Corvi,Portrait of Henry Stuart Cardinal York,Portrait of Henry Stuart Cardinal York,1760-01-01,1800-12-31,3/22/2014 4:21,3/22/2014,2,1,13,,,,ITA,,,,,,0,imgs/1760_ITA__95.jpg,monika,,
96,unknown,Miniature of James Francis Edward Stuart,Miniature of James Francis Edward Stuart,1692-01-01,1692-12-31,3/22/2014 4:23,3/22/2014,2,1,13,,,,GBR,France,,,,,0,imgs/1692_GBR__96.jpg,monika,,
97,John Worsdale,The Harlequin Portrait of Charles Edward Stuart,The Harlequin Portrait of Charles Edward Stuart,1745-01-01,1745-12-31,3/22/2014 4:24,3/22/2014,2,1,13,,,,GBR,,,,,,0,imgs/1745_GBR__97.jpg,monika,,
98,Maurice Quentin de la Tour,Charles Edward Stuart,Charles Edward Stuart,1747-01-01,1747-12-31,5/16/2018 15:14,3/22/2014,2,1,13,,,,GBR,France,,,,,0,imgs/1747_GBR__98.jpg,monika,,
99,Louis Tocque,Charles Edward Stuart,Charles Edward Stuart,1748-01-01,1748-12-31,5.3.2014 01:22,3/22/2014,2,1,13,,,,GBR,France,Private Collection,private,Bridgeman Art Library,,0,imgs/1748_GBR__99.jpg,monika,,
100,unknown,The Coronation of William of Orange,The Coronation of William of Orange,1689-01-01,1700-12-31,3/22/2014 4:28,3/22/2014,12,1,13,,,,GBR,,,,Bridgeman Art Library,,0,imgs/1689_GBR__100.jpg,monika,,
101,unknown,William III in Roman Costume,William III in Roman Costume,1689-01-01,1705-12-31,4/18/2014 7:06,3/22/2014,12,1,1,Great Britain,www.bpi1700.org,Order Ref.: AN140627001,GBR,Great Britain,British Museum London,The Trustees of The British Museum,The Trustees of The British Museum,,0,imgs/1689_GBR__101.jpg,monika,,
102,W. Wilde (printer),Spanish Armada / Gunpowder Plot and Glorious Revolution,Spanish Armada / Gunpowder Plot and Glorious Revolution,1689-01-01,1689-12-31,7.9.2014 16:50,3/22/2014,12,5,5,,Eighteenth Century Books Online,,GBR,London / Great Britain,,,Eighteenth Century Collection Online / Cengage Learning,,0,imgs/1689_GBR__102.gif,monika,,
103,unknown,William Joy as the English Sampson,William Joy as the English Sampson,1699-01-01,1699-12-31,11.12.2014 19:48,3/22/2014,12,1,1,Great Britain,,,GBR,Great Britain,,The Trustees of the British Museum,The Trustees of The British Museum,,0,imgs/1699_GBR__103.jpg,monika,,
104,unknown,Maria Tudor,Maria Tudor,1554-01-01,1554-12-31,3/22/2014 4:44,3/22/2014,12,4,7,Italy,,,ITA,Italy,,,Bridgeman Art Library,,0,imgs/1554_ITA__104.jpg,monika,,
105,Joseph Priestley (data and original draft),Chart of the Revolutions of Empire,Chart of the Revolutions of Empire in Great Britain,1770-01-01,1770-12-31,5.5.2017 10:10,3/22/2014,1,5,5,The chart was widely circulated in Britain and North America as Priestley's original description of 1770 was reprinted throughout the 18th century. In 1798 / the chart was used as a book illustration in Allen's History of England.,Google Books: https://play.google.com/books/reader?id=tgRbAAAAcAAJ&printsec=frontcover&output=reader&hl=en_GB&pg=GBS.PA9,engraved for Allen's History of England,GBR,London,several libraries across the UK,,,,0,imgs/1770_GBR__105.jpg,monika,,
106,unknown,The Royal Oak of Britain,The Royal Oak of Britain,1649-01-01,1649-12-31,5.4.2014 21:07,3/22/2014,12,1,5,Great Britain,http://www.welib.de,,GBR,Great Britain,British Museum London,The Trustees of the British Museum,Warburg Electronic Library (WEL),M. W. Jones: A Cartoon History ofMonarchy. London 1978 / Abb. 3,0,imgs/1649_GBR__106.jpg,monika,,
107,unknown,The Beheading of King Charles I,The Beheading of King Charles I,1650-01-01,1650-12-31,3/22/2014 4:52,3/22/2014,12,1,13,,,,GBR,,,,Bridgeman Art Library,,0,imgs/1650_GBR__107.jpg,monika,,
108,unknown,Flucht Jakobs II.,Flucht Jakobs II.,1689-01-01,1689-12-31,3/22/2014 4:53,3/22/2014,1,1,1,,,,AFG,,,,Warburg Electronic Library (WEL),,0,imgs/1689_AFG__108.jpg,monika,,
109,unknown,The Dreadful Apparition: the Pope Haunted with Ghosts,The Dreadful Apparition: the Pope Haunted with Ghosts,1682-01-01,1682-12-31,5/26/2014 14:42,3/22/2014,12,1,5,Great Britain,,,GBR,Great Britain,,,Bridgeman Art Library,,0,imgs/1682_GBR__109.gif,monika,,
110,William Hogarth,March of the Guard to Finchley,March of the Guard to Finchley,1750-01-01,1750-12-31,3/23/2014 19:40,3/22/2014,2,1,13,Europe,www.bbc.co.uk\arts,,GBR,Great Britain,The Foundling Museum,The Foundling Museum,Bridgeman Art Library \ BBC Arts,,0,imgs/1750_GBR__110.jpg,monika,,
111,unknown,Privision for the Scotch Convent (Omnia Vincit Amor),Provision for the Scotch Convent - Omnia Vincit Amor (Satire against Lord Bute),1760-01-01,1763-12-31,4/18/2014 0:06,3/22/2014,12,5,5,,,,GBR,from,,,,TheBritishAntidote_OmniaVincitAmor_Satireblatt_Seite49,0,imgs/1760_GBR__111.jpg,monika,,
112,unknown,The Caledonian Pacification,The Caledonian Pacification,1760-01-01,1763-12-31,3/22/2014 5:02,3/22/2014,12,4,5,,,,GBR,from The British Antidote 1765,,,,,0,imgs/1760_GBR__112.jpg,monika,,
113,unknown,The execution on Tower Hill of the Earl of Derwentwater,The execution on Tower Hill of the Earl of Derwentwater,1716-01-01,1716-12-31,3/22/2014 16:58,3/22/2014,12,1,1,Great Britain,,,GBR,Great Britain,,,,,2,imgs/1716_GBR__113.jpg,monika,,
114,unknown,John Stuart Earl of Bute,John Stuart Earl of Bute,1760-01-01,1780-12-31,3/22/2014 16:59,3/22/2014,2,1,13,,,,GBR,,,,,,0,imgs/1760_GBR__114.jpg,monika,,
115,unknown,St. Bartholemew,St. Bartholemew,1650-01-01,1750-12-31,3/22/2014 17:04,3/22/2014,2,1,13,,www.wikimedia.com,,ITA,,,,,,0,imgs/1650_ITA__115.jpg,monika,,
116,unknown,Thomas Venner Uprising 1661,Thomas Venner Uprising 1661 / 5th Monarchy Men,1661-01-01,1670-12-31,3/23/2014 14:23,3/23/2014,12,1,5,Great Britain,,,AFG,Great Britain,,,Bridgeman Art Library,,0,imgs/1661_AFG__116.jpg,monika,,
117,Barlow,Dutch rebellion,Satire against the Dutch: broken egg of rebellion reveals Dutchmen plotting,1673-01-01,1673-12-31,3/23/2014 14:34,3/23/2014,12,1,5,Great Britain,http://www.bpi1700.org.uk/jsp/image.jsp?image=118573,Order Ref.: AN118573001,GBR,Great Britain,British Museum London,The Trustees of The British Museum,The Trustees of The British Museum,,0,imgs/1673_GBR__117.jpg,monika,,
118,unknown,Several of the rebels hanged upon a tree,Several of the rebels hanged upon a tree after the Monmouth Rebellion,1685-01-01,1700-12-31,7/15/2014 17:43,3/23/2014,12,1,5,Great Britain,www.bridgemanart.com,Image ID: XJF 143486,GBR,Great Britain,Private Collection,private,Bridgeman Art Library,,0,imgs/1685_GBR__118.jpg,monika,,
119,unknown,Ferguson preaching to the rebels,Ferguson preaching to the rebels the day before the defeat of the Monmouth Rebellion,1685-01-01,1700-12-31,3/23/2014 14:54,3/23/2014,12,4,5,Great Britain,www.bridgemanart.com,Image ID: XJF 143485,GBR,Great Britain,Private Collection,private,Bridgeman Art Library,,0,imgs/1685_GBR__119.jpg,monika,,
